Date,Symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-05-10,NVDA,89.369,92.198,88.21,89.857,1852604000,0.0,0.0
2024-05-17,NVDA,90.457,95.796,88.508,92.457,1687565000,0.0,0.0
2024-05-24,NVDA,93.728,106.45,93.158,106.444,2460917000,0.0,0.0
2024-05-31,NVDA,110.218,115.792,106.915,109.607,2310783000,0.0,0.0
2024-06-07,NVDA,113.594,125.557,111.977,120.859,2447200000,0.0,0.0
2024-06-14,NVDA,120.342,132.819,116.982,131.86,1406333800,0.01,10.0
2024-06-21,NVDA,132.969,140.738,124.281,126.55,1756092600,0.0,0.0
2024-06-28,NVDA,123.221,128.1,118.022,123.521,1832912700,0.0,0.0
2024-07-05,NVDA,123.451,128.83,118.812,125.811,933185200,0.0,0.0
2024-07-12,NVDA,127.47,136.129,127.02,129.22,1399485700,0.0,0.0
2024-07-19,NVDA,130.54,131.37,116.542,117.912,1351385200,0.0,0.0
2024-07-26,NVDA,120.331,124.671,106.284,113.043,1513222900,0.0,0.0
2024-08-02,NVDA,113.672,120.141,101.354,107.253,2213649400,0.0,0.0
2024-08-09,NVDA,92.046,108.783,90.676,104.734,2056049100,0.0,0.0
2024-08-16,NVDA,106.304,124.981,106.244,124.561,1598129600,0.0,0.0
2024-08-23,NVDA,124.261,130.73,123.081,129.35,1575724000,0.0,0.0
2024-08-30,NVDA,129.55,131.24,116.692,119.352,1869975300,0.0,0.0
2024-09-06,NVDA,115.992,116.192,100.934,102.814,1570114200,0.0,0.0
2024-09-13,NVDA,104.864,120.782,103.674,119.092,1589076900,0.01,0.0
2024-09-20,NVDA,116.782,119.652,113.212,115.992,1466985900,0.0,0.0
2024-09-27,NVDA,116.542,127.661,114.852,121.392,1419480300,0.0,0.0
2024-10-04,NVDA,118.302,125.031,115.132,124.911,1271290200,0.0,0.0
2024-10-11,NVDA,124.981,135.771,124.941,134.791,1290685100,0.0,0.0
2024-10-18,NVDA,136.461,140.88,128.731,137.99,1357584500,0.0,0.0
